Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:31:46

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
30098,A123,2.784E-9,-613.8E-12,44.69E-6,44.69E-6,0.0,0.0,0.0,0.0
30098,A124,-1.427E-9,281.3E-12,2.535E-6,2.535E-6,0.0,0.0,0.0,0.0
30098,A125,1.197E-9,-260.6E-12,-2.835E-6,2.835E-6,0.0,0.0,0.0,0.0
30098,A126,-98.62E-12,30.89E-12,50.38E-6,50.38E-6,0.0,0.0,0.0,0.0
30098,A127,453.5E-12,-138.9E-12,-47.69E-6,47.69E-6,0.0,0.0,0.0,0.0
30098,A128,-2.461E-9,267.0E-12,107.5E-6,107.5E-6,0.0,0.0,0.0,0.0
30098,A129,1.930E-9,547.5E-12,-71.65E-6,71.65E-6,0.0,0.0,0.0,0.0
30098,A130,-8.885E-9,779.8E-12,161.7E-6,161.7E-6,0.0,0.0,0.0,0.0
30098,A131,2.221E-9,-6.808E-9,-281.5E-6,281.5E-6,0.0,0.0,0.0,0.0
30098,C1,548.9E-9,0.01690,25740.,25740.,0.0,0.0,0.0,0.0
30098,C2,538.9E-9,0.01609,24880.,24880.,0.0,0.0,0.0,0.0
30098,C4,-437.7E-9,4.165E-6,18180.,18180.,0.0,0.0,0.0,0.0
30098,C5,-416.9E-9,3.967E-6,17320.,17320.,0.0,0.0,0.0,0.0
30098,C6,-25.08E-9,85.97E-9,510.1,510.1,0.0,0.0,0.0,0.0
30098,C7,-116.7E-9,284.0E-9,1115.,1115.,0.0,0.0,0.0,0.0
